,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
56,Livingston,Say The Word,0.504,0.715,8,-4.691,1,0.38,0.119,0,0.15,0.738,175.935,audio_features,1MVtDDssf4IyFfPMspQge6,spotify:track:1MVtDDssf4IyFfPMspQge6,https://api.spotify.com/v1/tracks/1MVtDDssf4IyFfPMspQge6,https://api.spotify.com/v1/audio-analysis/1MVtDDssf4IyFfPMspQge6,223352,4
57,Faouzia,Minefields,0.476,0.686,1,-5.019,0,0.11,0.183,0,0.0997,0.243,152.617,audio_features,1OU4E4HiVjdak0mL4blVWT,spotify:track:1OU4E4HiVjdak0mL4blVWT,https://api.spotify.com/v1/tracks/1OU4E4HiVjdak0mL4blVWT,https://api.spotify.com/v1/audio-analysis/1OU4E4HiVjdak0mL4blVWT,190606,4
58,Shawn Mendes,Wonder - Acoustic,0.476,0.397,6,-6.681,0,0.0317,0.53,0,0.0763,0.256,139.777,audio_features,42eB4oaJ9vwsnxz1RFQUa0,spotify:track:42eB4oaJ9vwsnxz1RFQUa0,https://api.spotify.com/v1/tracks/42eB4oaJ9vwsnxz1RFQUa0,https://api.spotify.com/v1/audio-analysis/42eB4oaJ9vwsnxz1RFQUa0,173653,4
59,Vitaa,Avant toi,0.63,0.396,10,-9.162,1,0.0334,0.875,0,0.1,0.246,142.046,audio_features,4iNPp0BZ4lBu7bipdWLcWk,spotify:track:4iNPp0BZ4lBu7bipdWLcWk,https://api.spotify.com/v1/tracks/4iNPp0BZ4lBu7bipdWLcWk,https://api.spotify.com/v1/audio-analysis/4iNPp0BZ4lBu7bipdWLcWk,223800,4
60,Ben Platt,In Case You Don't Live Forever,0.529,0.307,9,-8.24,1,0.0335,0.851,0,0.104,0.439,139.785,audio_features,4Svpc4QRvDW0J34AE30S9c,spotify:track:4Svpc4QRvDW0J34AE30S9c,https://api.spotify.com/v1/tracks/4Svpc4QRvDW0J34AE30S9c,https://api.spotify.com/v1/audio-analysis/4Svpc4QRvDW0J34AE30S9c,228960,4
61,Sam Fischer,This City - Acoustic,0.625,0.221,10,-10.576,1,0.0438,0.666,0,0.0946,0.702,139.807,audio_features,6ia9TgcqUz4IaGRoKXW0oF,spotify:track:6ia9TgcqUz4IaGRoKXW0oF,https://api.spotify.com/v1/tracks/6ia9TgcqUz4IaGRoKXW0oF,https://api.spotify.com/v1/audio-analysis/6ia9TgcqUz4IaGRoKXW0oF,206820,4
62,Lilacs.,7PM,0.782,0.512,4,-8.103,1,0.0324,0.297,3.24e-05,0.0979,0.658,94.98,audio_features,76tztTt7xAC6E0RZggd9xg,spotify:track:76tztTt7xAC6E0RZggd9xg,https://api.spotify.com/v1/tracks/76tztTt7xAC6E0RZggd9xg,https://api.spotify.com/v1/audio-analysis/76tztTt7xAC6E0RZggd9xg,202105,4
63,CLAY,orange,0.561,0.583,0,-7.091,1,0.182,0.257,0,0.117,0.314,86.352,audio_features,6vrFIzWogs4kLbCSMsjnRC,spotify:track:6vrFIzWogs4kLbCSMsjnRC,https://api.spotify.com/v1/tracks/6vrFIzWogs4kLbCSMsjnRC,https://api.spotify.com/v1/audio-analysis/6vrFIzWogs4kLbCSMsjnRC,212611,4
64,Shawn Mendes,Teach Me How To Love,0.592,0.885,9,-4.944,0,0.0807,0.0505,2.38e-06,0.0843,0.731,98.991,audio_features,5LZtB6nxvjIhUoElp3Zqk0,spotify:track:5LZtB6nxvjIhUoElp3Zqk0,https://api.spotify.com/v1/tracks/5LZtB6nxvjIhUoElp3Zqk0,https://api.spotify.com/v1/audio-analysis/5LZtB6nxvjIhUoElp3Zqk0,202357,4
65,Alex Aiono,Good Morning,0.424,0.544,2,-7.3,1,0.192,0.715,0,0.1,0.578,171.751,audio_features,0vEyr9AoLOI0SDiQlwOHUY,spotify:track:0vEyr9AoLOI0SDiQlwOHUY,https://api.spotify.com/v1/tracks/0vEyr9AoLOI0SDiQlwOHUY,https://api.spotify.com/v1/audio-analysis/0vEyr9AoLOI0SDiQlwOHUY,212760,4
